opcode,mnem,op_enc,ops,prefs,feature_flag,exceptions
VEX.NDS.256.66.0F3A.WIG 0D /r ib,VBLENDPD,RVMI,ymm:mew; ymm:mer; ymm/m256:mer; imm8:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
VEX.NDS.LZ.0F38.W0 F7 /r,BEXTR,RMV,r32:mew; r/m32:mer; r32:mer; ZF:w; AF:u; SF:u; PF:u; OF:0; CF:0,pref67:operand/1,BMI1,UDX; SSX; GP; PF; AC; UDX; SSX; GP; PF; AC
VEX.NDS.LZ.0F38.W1 F7 /r,BEXTR,RMV,r64:mew; r/m64:mer; r64:mer; ZF:w; AF:u; SF:u; PF:u; OF:0; CF:0,pref67:operand/1,BMI1,UDX; SSX; GP; PF; AC; UDX; SSX; GP; PF; AC
0F 3A 0C /r ib,BLENDPS,RMI,xmm:merw; xmm/m128:mer; imm8:mer,pref67:operand/1; pref66:mandatory/1,SSE4_1,UD; GPS; AC; PFS
VEX.NDS.128.66.0F3A.WIG 0C /r ib,VBLENDPS,RVMI,xmm:mew; xmm:mer; xmm/m128:mer; imm8:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
VEX.NDS.256.66.0F3A.WIG 0C /r ib,VBLENDPS,RVMI,ymm:mew; ymm:mer; ymm/m256:mer; imm8:mer,pref67:operand/1,AVX,UD; GPS; AC; PFS
0F 38 15 /r,BLENDVPD,RM,xmm:merw; xmm/m128:mer; XMM0:mr,pref67:operand/1; pref66:mandatory/1,SSE4_1,UD; GP; AC; PFS
VEX.NDS.128.66.0F3A.W0 4B /r /is4,VBLENDVPD,RVMR,xmm:mew; xmm:mer; xmm/m128:mer; xmm:mer,pref67:operand/1,AVX,UD; GP; AC; PFS
VEX.NDS.256.66.0F3A.W0 4B /r /is4,VBLENDVPD,RVMR,ymm:mew; ymm:mer; ymm/m256:mer; ymm:mer,pref67:operand/1,AVX,UD; GP; AC; PFS
0F 38 14 /r,BLENDVPS,RM,xmm:merw; xmm/m128:mer; XMM0:mr,pref67:operand/1; pref66:mandatory/1,SSE4_1,UD; GP; AC; PFS
